sequence,condition_id,pair_id,run_type,pair_role,test_case_key,scenario_key,task_profile_key,start_station,destination_stations,start_time_min,persona_key,persona_name,persona_description,agent_a_type,agent_a_audio_persona,agent_b_plugin,agent_b_model,agent_b_audio_persona,objective_mode,model_param_key,speech_pattern_key,configured_tts_engine,effective_tts_engine,configured_asr_engine,effective_asr_engine,iteration,network_seed,asr_beam_size,speech_performance_band,speech_performance_rank,channel_noise_snr_db,channel_gain_db,channel_clip_threshold,channel_dropout_rate,agent_b_llm_size,agent_b_model_role,matrix_family,ticket_modes,max_walking_min,max_delay_probability,max_transfer_miss_probability,persona_preferences_json,scenario_configuration_json,parameter_values_json,changed_from_previous_count,changed_from_previous,paired_condition_sequence,paired_difference_count,paired_differences
14,C-LE-VP-CLEAN-PIP-FWH-BHUGG-DEFAU-MED-I0-d71353e8b9-A,P-d71353e8b9,audio_variant,speech treatment,late_event,late_event,late_verbose,Kilo,Jasper,1265,verbose_planner,Verbose planner,Compares alternatives before deciding.,userlm,high_clarity_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/mid2-phi3-mini,degraded_operator,shortest_valid_route_with_constraints,greedy,clean,piper,piper,faster_whisper,faster_whisper,0,29,6,custom,,,,,,medium,model_comparison,agent_b_llm_comparison_v1,"metro, bus",10,,,"{""fullness"": ""considers fullness as a secondary factor"", ""max_walking_min"": 10, ""priority"": ""balanced comparison of time, transfers, and fullness"", ""switching"": ""accepts transfers if justified"", ""ticket_modes"": [""metro"", ""bus""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Jasper"", ""destination_stations"": [""Jasper""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.3, ""min_stage_suboptimal_options"": 1, ""name"": ""Late-event crowding evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Kilo"", ""start_time_min"": 1265, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""medium"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 6, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 29, ""profile_key"": ""default"", ""task_profile_key"": ""late_verbose""}",3,run_type; effective_tts_engine; effective_asr_engine,13,3,run_type; effective_tts_engine; effective_asr_engine
15,C-LE-VP-HESIT-PIP-FWH-BHUGG-DEFAU-MED-I0-77e69441de-T,P-77e69441de,text_only,text control,late_event,late_event,late_verbose,Kilo,Jasper,1265,verbose_planner,Verbose planner,Compares alternatives before deciding.,userlm,hesitant_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/mid2-phi3-mini,clear_operator,shortest_valid_route_with_constraints,greedy,hesitant,piper,file,faster_whisper,file,0,29,1,custom,,,,,,medium,model_comparison,agent_b_llm_comparison_v1,"metro, bus",10,,,"{""fullness"": ""considers fullness as a secondary factor"", ""max_walking_min"": 10, ""priority"": ""balanced comparison of time, transfers, and fullness"", ""switching"": ""accepts transfers if justified"", ""ticket_modes"": [""metro"", ""bus""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Jasper"", ""destination_stations"": [""Jasper""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.3, ""min_stage_suboptimal_options"": 1, ""name"": ""Late-event crowding evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Kilo"", ""start_time_min"": 1265, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""medium"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 1, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 29, ""profile_key"": ""default"", ""task_profile_key"": ""late_verbose""}",8,run_type; agent_a_audio_persona; agent_b_audio_persona; speech_pattern_key; effective_tts_engine; effective_asr_engine; asr_beam_size; parameter_values_json,16,3,run_type; effective_tts_engine; effective_asr_engine
16,C-LE-VP-HESIT-PIP-FWH-BHUGG-DEFAU-MED-I0-77e69441de-A,P-77e69441de,audio_variant,speech treatment,late_event,late_event,late_verbose,Kilo,Jasper,1265,verbose_planner,Verbose planner,Compares alternatives before deciding.,userlm,hesitant_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/mid2-phi3-mini,clear_operator,shortest_valid_route_with_constraints,greedy,hesitant,piper,piper,faster_whisper,faster_whisper,0,29,1,custom,,,,,,medium,model_comparison,agent_b_llm_comparison_v1,"metro, bus",10,,,"{""fullness"": ""considers fullness as a secondary factor"", ""max_walking_min"": 10, ""priority"": ""balanced comparison of time, transfers, and fullness"", ""switching"": ""accepts transfers if justified"", ""ticket_modes"": [""metro"", ""bus""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Jasper"", ""destination_stations"": [""Jasper""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.3, ""min_stage_suboptimal_options"": 1, ""name"": ""Late-event crowding evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Kilo"", ""start_time_min"": 1265, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""medium"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 1, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 29, ""profile_key"": ""default"", ""task_profile_key"": ""late_verbose""}",3,run_type; effective_tts_engine; effective_asr_engine,15,3,run_type; effective_tts_engine; effective_asr_engine
17,C-LE-VP-NS-PIP-FWH-BHUGG-DEFAU-MED-I0-2b72ce1d6c-T,P-2b72ce1d6c,text_only,text control,late_event,late_event,late_verbose,Kilo,Jasper,1265,verbose_planner,Verbose planner,Compares alternatives before deciding.,userlm,high_clarity_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/mid2-phi3-mini,clear_operator,shortest_valid_route_with_constraints,greedy,noisy_station,piper,file,faster_whisper,file,0,42,6,custom,,,,,,medium,model_comparison,agent_b_llm_comparison_v1,"metro, bus",10,,,"{""fullness"": ""considers fullness as a secondary factor"", ""max_walking_min"": 10, ""priority"": ""balanced comparison of time, transfers, and fullness"", ""switching"": ""accepts transfers if justified"", ""ticket_modes"": [""metro"", ""bus""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Jasper"", ""destination_stations"": [""Jasper""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.3, ""min_stage_suboptimal_options"": 1, ""name"": ""Late-event crowding evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Kilo"", ""start_time_min"": 1265, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""medium"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 6, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 42, ""profile_key"": ""default"", ""task_profile_key"": ""late_verbose""}",8,run_type; agent_a_audio_persona; speech_pattern_key; effective_tts_engine; effective_asr_engine; network_seed; asr_beam_size; parameter_values_json,18,3,run_type; effective_tts_engine; effective_asr_engine
18,C-LE-VP-NS-PIP-FWH-BHUGG-DEFAU-MED-I0-2b72ce1d6c-A,P-2b72ce1d6c,audio_variant,speech treatment,late_event,late_event,late_verbose,Kilo,Jasper,1265,verbose_planner,Verbose planner,Compares alternatives before deciding.,userlm,high_clarity_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/mid2-phi3-mini,clear_operator,shortest_valid_route_with_constraints,greedy,noisy_station,piper,piper,faster_whisper,faster_whisper,0,42,6,custom,,,,,,medium,model_comparison,agent_b_llm_comparison_v1,"metro, bus",10,,,"{""fullness"": ""considers fullness as a secondary factor"", ""max_walking_min"": 10, ""priority"": ""balanced comparison of time, transfers, and fullness"", ""switching"": ""accepts transfers if justified"", ""ticket_modes"": [""metro"", ""bus""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Jasper"", ""destination_stations"": [""Jasper""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.3, ""min_stage_suboptimal_options"": 1, ""name"": ""Late-event crowding evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Kilo"", ""start_time_min"": 1265, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""medium"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 6, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 42, ""profile_key"": ""default"", ""task_profile_key"": ""late_verbose""}",3,run_type; effective_tts_engine; effective_asr_engine,17,3,run_type; effective_tts_engine; effective_asr_engine
19,C-AC-DST-CLEAN-PIP-FWH-BHUGG-DEFAU-MED-I0-f57299bd34-T,P-f57299bd34,text_only,text control,airport_connection,airport_connection,airport_delay,Bravo,Harbor,395,delay_sensitive_traveler,Delay-sensitive traveler,Needs a reliable route and asks for risk tradeoffs.,userlm,high_clarity_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/mid2-phi3-mini,clear_operator,shortest_valid_route_with_constraints,greedy,clean,piper,file,faster_whisper,file,0,42,1,custom,,,,,,medium,model_comparison,agent_b_llm_comparison_v1,"metro, bus",10,0.32,0.2,"{""fullness"": ""fullness matters if it increases delay probability"", ""max_delay_probability"": 0.32, ""max_transfer_miss_probability"": 0.2, ""max_walking_min"": 10, ""priority"": ""low delay risk and on-time arrival"", ""reliability"": ""prefer lower delay probability"", ""switching"": ""accepts transfers when they reduce delay risk"", ""ticket_modes"": [""metro"", ""bus""]}","{""acceptable_duration_ratio"": 2.0, ""allow_unreachable"": false, ""destination_station"": ""Harbor"", ""destination_stations"": [""Harbor""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.6, ""max_transfer_miss_probability"": 0.2, ""min_stage_suboptimal_options"": 1, ""name"": ""Airport-style low-delay connection evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Bravo"", ""start_time_min"": 395, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""medium"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 1, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 42, ""profile_key"": ""default"", ""task_profile_key"": ""airport_delay""}",19,run_type; test_case_key; scenario_key; task_profile_key; start_station; destination_stations; start_time_min; persona_key; persona_name; persona_description; speech_pattern_key; effective_tts_engine; effective_asr_engine; asr_beam_size; max_delay_probability; max_transfer_miss_probability; persona_preferences_json; scenario_configuration_json; parameter_values_json,20,3,run_type; effective_tts_engine; effective_asr_engine
20,C-AC-DST-CLEAN-PIP-FWH-BHUGG-DEFAU-MED-I0-f57299bd34-A,P-f57299bd34,audio_variant,speech treatment,airport_connection,airport_connection,airport_delay,Bravo,Harbor,395,delay_sensitive_traveler,Delay-sensitive traveler,Needs a reliable route and asks for risk tradeoffs.,userlm,high_clarity_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/mid2-phi3-mini,clear_operator,shortest_valid_route_with_constraints,greedy,clean,piper,piper,faster_whisper,faster_whisper,0,42,1,custom,,,,,,medium,model_comparison,agent_b_llm_comparison_v1,"metro, bus",10,0.32,0.2,"{""fullness"": ""fullness matters if it increases delay probability"", ""max_delay_probability"": 0.32, ""max_transfer_miss_probability"": 0.2, ""max_walking_min"": 10, ""priority"": ""low delay risk and on-time arrival"", ""reliability"": ""prefer lower delay probability"", ""switching"": ""accepts transfers when they reduce delay risk"", ""ticket_modes"": [""metro"", ""bus""]}","{""acceptable_duration_ratio"": 2.0, ""allow_unreachable"": false, ""destination_station"": ""Harbor"", ""destination_stations"": [""Harbor""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.6, ""max_transfer_miss_probability"": 0.2, ""min_stage_suboptimal_options"": 1, ""name"": ""Airport-style low-delay connection evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Bravo"", ""start_time_min"": 395, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""medium"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 1, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 42, ""profile_key"": ""default"", ""task_profile_key"": ""airport_delay""}",3,run_type; effective_tts_engine; effective_asr_engine,19,3,run_type; effective_tts_engine; effective_asr_engine
21,C-AC-DST-HESIT-PIP-FWH-BHUGG-DEFAU-MED-I0-380a80aa75-T,P-380a80aa75,text_only,text control,airport_connection,airport_connection,airport_delay,Bravo,Harbor,395,delay_sensitive_traveler,Delay-sensitive traveler,Needs a reliable route and asks for risk tradeoffs.,userlm,hesitant_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/mid2-phi3-mini,degraded_operator,shortest_valid_route_with_constraints,greedy,hesitant,piper,file,faster_whisper,file,0,29,6,custom,,,,,,medium,model_comparison,agent_b_llm_comparison_v1,"metro, bus",10,0.32,0.2,"{""fullness"": ""fullness matters if it increases delay probability"", ""max_delay_probability"": 0.32, ""max_transfer_miss_probability"": 0.2, ""max_walking_min"": 10, ""priority"": ""low delay risk and on-time arrival"", ""reliability"": ""prefer lower delay probability"", ""switching"": ""accepts transfers when they reduce delay risk"", ""ticket_modes"": [""metro"", ""bus""]}","{""acceptable_duration_ratio"": 2.0, ""allow_unreachable"": false, ""destination_station"": ""Harbor"", ""destination_stations"": [""Harbor""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.6, ""max_transfer_miss_probability"": 0.2, ""min_stage_suboptimal_options"": 1, ""name"": ""Airport-style low-delay connection evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Bravo"", ""start_time_min"": 395, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""medium"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 6, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 29, ""profile_key"": ""default"", ""task_profile_key"": ""airport_delay""}",9,run_type; agent_a_audio_persona; agent_b_audio_persona; speech_pattern_key; effective_tts_engine; effective_asr_engine; network_seed; asr_beam_size; parameter_values_json,22,3,run_type; effective_tts_engine; effective_asr_engine
22,C-AC-DST-HESIT-PIP-FWH-BHUGG-DEFAU-MED-I0-380a80aa75-A,P-380a80aa75,audio_variant,speech treatment,airport_connection,airport_connection,airport_delay,Bravo,Harbor,395,delay_sensitive_traveler,Delay-sensitive traveler,Needs a reliable route and asks for risk tradeoffs.,userlm,hesitant_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/mid2-phi3-mini,degraded_operator,shortest_valid_route_with_constraints,greedy,hesitant,piper,piper,faster_whisper,faster_whisper,0,29,6,custom,,,,,,medium,model_comparison,agent_b_llm_comparison_v1,"metro, bus",10,0.32,0.2,"{""fullness"": ""fullness matters if it increases delay probability"", ""max_delay_probability"": 0.32, ""max_transfer_miss_probability"": 0.2, ""max_walking_min"": 10, ""priority"": ""low delay risk and on-time arrival"", ""reliability"": ""prefer lower delay probability"", ""switching"": ""accepts transfers when they reduce delay risk"", ""ticket_modes"": [""metro"", ""bus""]}","{""acceptable_duration_ratio"": 2.0, ""allow_unreachable"": false, ""destination_station"": ""Harbor"", ""destination_stations"": [""Harbor""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.6, ""max_transfer_miss_probability"": 0.2, ""min_stage_suboptimal_options"": 1, ""name"": ""Airport-style low-delay connection evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Bravo"", ""start_time_min"": 395, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""medium"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 6, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 29, ""profile_key"": ""default"", ""task_profile_key"": ""airport_delay""}",3,run_type; effective_tts_engine; effective_asr_engine,21,3,run_type; effective_tts_engine; effective_asr_engine
23,C-AC-DST-NS-PIP-FWH-BHUGG-DEFAU-MED-I0-355d5698cb-T,P-355d5698cb,text_only,text control,airport_connection,airport_connection,airport_delay,Bravo,Harbor,395,delay_sensitive_traveler,Delay-sensitive traveler,Needs a reliable route and asks for risk tradeoffs.,userlm,high_clarity_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/mid2-phi3-mini,clear_operator,shortest_valid_route_with_constraints,greedy,noisy_station,piper,file,faster_whisper,file,0,29,1,custom,,,,,,medium,model_comparison,agent_b_llm_comparison_v1,"metro, bus",10,0.32,0.2,"{""fullness"": ""fullness matters if it increases delay probability"", ""max_delay_probability"": 0.32, ""max_transfer_miss_probability"": 0.2, ""max_walking_min"": 10, ""priority"": ""low delay risk and on-time arrival"", ""reliability"": ""prefer lower delay probability"", ""switching"": ""accepts transfers when they reduce delay risk"", ""ticket_modes"": [""metro"", ""bus""]}","{""acceptable_duration_ratio"": 2.0, ""allow_unreachable"": false, ""destination_station"": ""Harbor"", ""destination_stations"": [""Harbor""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.6, ""max_transfer_miss_probability"": 0.2, ""min_stage_suboptimal_options"": 1, ""name"": ""Airport-style low-delay connection evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Bravo"", ""start_time_min"": 395, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""medium"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 1, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 29, ""profile_key"": ""default"", ""task_profile_key"": ""airport_delay""}",8,run_type; agent_a_audio_persona; agent_b_audio_persona; speech_pattern_key; effective_tts_engine; effective_asr_engine; asr_beam_size; parameter_values_json,24,3,run_type; effective_tts_engine; effective_asr_engine
24,C-AC-DST-NS-PIP-FWH-BHUGG-DEFAU-MED-I0-355d5698cb-A,P-355d5698cb,audio_variant,speech treatment,airport_connection,airport_connection,airport_delay,Bravo,Harbor,395,delay_sensitive_traveler,Delay-sensitive traveler,Needs a reliable route and asks for risk tradeoffs.,userlm,high_clarity_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/mid2-phi3-mini,clear_operator,shortest_valid_route_with_constraints,greedy,noisy_station,piper,piper,faster_whisper,faster_whisper,0,29,1,custom,,,,,,medium,model_comparison,agent_b_llm_comparison_v1,"metro, bus",10,0.32,0.2,"{""fullness"": ""fullness matters if it increases delay probability"", ""max_delay_probability"": 0.32, ""max_transfer_miss_probability"": 0.2, ""max_walking_min"": 10, ""priority"": ""low delay risk and on-time arrival"", ""reliability"": ""prefer lower delay probability"", ""switching"": ""accepts transfers when they reduce delay risk"", ""ticket_modes"": [""metro"", ""bus""]}","{""acceptable_duration_ratio"": 2.0, ""allow_unreachable"": false, ""destination_station"": ""Harbor"", ""destination_stations"": [""Harbor""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.6, ""max_transfer_miss_probability"": 0.2, ""min_stage_suboptimal_options"": 1, ""name"": ""Airport-style low-delay connection evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Bravo"", ""start_time_min"": 395, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""medium"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 1, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 29, ""profile_key"": ""default"", ""task_profile_key"": ""airport_delay""}",3,run_type; effective_tts_engine; effective_asr_engine,23,3,run_type; effective_tts_engine; effective_asr_engine
25,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-MED-I0-8569e91509-T,P-8569e91509,text_only,text control,midday_transfer,midday_transfer,midday_distracted,Echo,Zulu,738,distracted_multitasker,Distracted multitasker,Sometimes loses track and asks for repetition.,userlm,high_clarity_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/mid2-phi3-mini,degraded_operator,shortest_valid_route_with_constraints,greedy,clean,piper,file,faster_whisper,file,0,29,1,custom,,,,,,medium,model_comparison,agent_b_llm_comparison_v1,"tram, bus",10,,,"{""fullness"": ""prefers less crowded trains"", ""max_walking_min"": 10, ""priority"": ""simple route first"", ""switching"": ""prefers fewer line changes"", ""ticket_modes"": [""tram"", ""bus""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Zulu"", ""destination_stations"": [""Zulu""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.28, ""min_stage_suboptimal_options"": 1, ""name"": ""Midday transfer-heavy evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Echo"", ""start_time_min"": 738, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""medium"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 1, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 29, ""profile_key"": ""default"", ""task_profile_key"": ""midday_distracted""}",20,run_type; test_case_key; scenario_key; task_profile_key; start_station; destination_stations; start_time_min; persona_key; persona_name; persona_description; agent_b_audio_persona; speech_pattern_key; effective_tts_engine; effective_asr_engine; ticket_modes; max_delay_probability; max_transfer_miss_probability; persona_preferences_json; scenario_configuration_json; parameter_values_json,26,3,run_type; effective_tts_engine; effective_asr_engine
26,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-MED-I0-8569e91509-A,P-8569e91509,audio_variant,speech treatment,midday_transfer,midday_transfer,midday_distracted,Echo,Zulu,738,distracted_multitasker,Distracted multitasker,Sometimes loses track and asks for repetition.,userlm,high_clarity_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/mid2-phi3-mini,degraded_operator,shortest_valid_route_with_constraints,greedy,clean,piper,piper,faster_whisper,faster_whisper,0,29,1,custom,,,,,,medium,model_comparison,agent_b_llm_comparison_v1,"tram, bus",10,,,"{""fullness"": ""prefers less crowded trains"", ""max_walking_min"": 10, ""priority"": ""simple route first"", ""switching"": ""prefers fewer line changes"", ""ticket_modes"": [""tram"", ""bus""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Zulu"", ""destination_stations"": [""Zulu""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.28, ""min_stage_suboptimal_options"": 1, ""name"": ""Midday transfer-heavy evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Echo"", ""start_time_min"": 738, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""medium"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 1, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 29, ""profile_key"": ""default"", ""task_profile_key"": ""midday_distracted""}",3,run_type; effective_tts_engine; effective_asr_engine,25,3,run_type; effective_tts_engine; effective_asr_engine
