agent_b_llm_size,agent_b_model,agent_a_type,agent_b_estimated_memory_gb,planned_conditions,completed_conditions,interrupted_conditions,not_started_conditions,task_success_rate,route_validity_rate,mean_duration_gap_min,mean_turn_count,mean_phase_processing_sec,total_asr_misinterpretations,total_transcript_corrections,mean_dialogue_state_agreement,mean_route_agreement,evidence_source
small,Qwen2.5-0.5B-Instruct,tinyllama,,4,0,0,4,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
small,small2-qwen2.5-1.5b,userlm,,78,17,1,60,1.0,1.0,0.0,9.705882352941176,13.940087632059917,83.0,17.0,0.9444444444444444,0.9444444444444444,"condition, phase, and dialogue summaries grouped by Agent B model"
small,SmolLM2-360M-Instruct,tinyllama,,2,0,0,2,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
small,TinyLlama-1.1B-Chat-v1.0,tinyllama,,8,0,0,8,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,gemma-2-2b-it,tinyllama,,8,0,0,8,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,mid2-phi3-mini,userlm,,26,0,0,26,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,Phi-3-mini-4k-instruct,tinyllama,,8,0,0,8,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,Qwen2.5-1.5B-Instruct,tinyllama,,8,0,0,8,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,Qwen3-4B-Instruct-2507,tinyllama,,8,0,0,8,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
