phase,metric,is_direct_outcome_metric,is_construct_overlap_metric,n_successful,mean_successful,n_semi_successful,mean_semi_successful,n_unsuccessful_dialogue,mean_unsuccessful_dialogue,min_value,max_value,overall_mean,overall_median
agent_a_evaluation,agent_a_avg_latency_sec,False,False,409,3.0289308068459655,19,4.61808947368421,24,2.0833333333333335,1.791,8.0,3.0455230088495573,2.0
agent_a_evaluation,agent_a_best_candidate_retention,False,False,409,1.0,19,1.0,24,1.0,1.0,1.0,1.0,1.0
agent_a_evaluation,agent_a_caller_latency,False,False,409,3.0289308068459655,19,4.61808947368421,24,2.0833333333333335,1.791,8.0,3.0455230088495573,2.0
agent_a_evaluation,agent_a_closure_correctness,False,False,409,0.6894865525672371,19,0.0,24,0.0,0.0,1.0,0.6238938053097345,1.0
agent_a_evaluation,agent_a_constraint_revelation_order,False,False,409,1.0,19,1.0,23,1.0,1.0,1.0,1.0,1.0
agent_a_evaluation,agent_a_constraint_violation_catch_rate,False,False,409,0.9755501222493888,19,1.0,24,1.0,0.0,1.0,0.9778761061946902,1.0
agent_a_evaluation,agent_a_correct_acceptance_rate,False,False,409,0.6894865525672371,19,0.0,24,0.0,0.0,1.0,0.6238938053097345,1.0
agent_a_evaluation,agent_a_false_acceptance_rate,False,False,409,0.0,19,1.0,24,0.0,0.0,1.0,0.0420353982300885,0.0
agent_a_evaluation,agent_a_false_rejection_rate,False,False,409,0.3105134474327628,19,0.0,24,0.0,0.0,1.0,0.2809734513274336,0.0
agent_a_evaluation,agent_a_preference_consistency,False,False,409,1.0,19,1.0,23,1.0,1.0,1.0,1.0,1.0
agent_a_evaluation,agent_a_question_count,False,False,409,3.256723716381418,19,2.789473684210526,24,0.041666666666666664,0.0,7.0,3.066371681415929,4.0
agent_a_evaluation,agent_a_satisfaction_calibration,False,False,409,0.7188264058679706,19,1.0,24,1.0,0.0,1.0,0.745575221238938,1.0
agent_a_evaluation,agent_a_selection_regret,False,False,409,0.7970660146699267,19,13.526315789473685,0,,-21.0,17.0,1.3621495327102804,0.0
agent_a_evaluation,agent_a_time_limit_violation_catch_rate,False,False,409,1.0,19,1.0,24,1.0,1.0,1.0,1.0,1.0
agent_a_evaluation,agent_a_user_effort,False,False,409,9.61124694376528,19,9.631578947368421,24,5.875,3.0,16.0,9.413716814159292,9.0
agent_a_evaluation,agent_a_verifier_catch_rate,False,False,409,0.9596577017114915,19,1.0,24,1.0,0.0,1.0,0.963495575221239,1.0
agent_b_response,agent_b_actionability_score,False,False,409,1.0,19,0.7763157894736842,24,0.0,0.0,1.0,0.9375,1.0
agent_b_response,agent_b_active_constraint_compliance,False,True,409,1.0,19,0.0,24,0.0,0.0,1.0,0.9048672566371682,1.0
agent_b_response,agent_b_avg_latency_sec,False,False,409,2.9892413202933983,19,4.4897526315789476,24,2.0833333333333335,1.9139,8.0,3.0042146017699114,2.0
agent_b_response,agent_b_best_route_discovery_rate,False,False,409,0.80440097799511,19,0.05263157894736842,24,0.0,0.0,1.0,0.7300884955752213,1.0
agent_b_response,agent_b_best_route_discovery_turn,False,False,329,1.1458966565349544,1,1.0,0,,1.0,6.0,1.1454545454545455,1.0
agent_b_response,agent_b_complete_route_rate,False,False,409,0.8783701711491443,19,0.039473684210526314,24,0.0,0.0,1.0,0.7964676991150442,1.0
agent_b_response,agent_b_destination_reach_rate,False,False,409,0.8783701711491443,19,0.039473684210526314,24,0.0,0.0,1.0,0.7964676991150442,1.0
agent_b_response,agent_b_distinct_1,False,False,409,0.387359413202934,19,0.4641947368421052,24,0.7441291666666667,0.2677,1.0,0.40953274336283185,0.3884
agent_b_response,agent_b_dominated_proposal_rate,False,False,409,0.6727168704156479,19,0.043610526315789475,24,0.0,0.0,0.8333,0.6105526548672566,0.6667
agent_b_response,agent_b_duration_regret,False,False,409,0.7970660146699267,19,13.526315789473685,0,,-21.0,17.0,1.3621495327102804,0.0
agent_b_response,agent_b_grounded_proposal_score,False,False,409,0.9943004889975551,19,0.44283684210526314,24,0.0,0.0,1.0,0.918324778761062,1.0
agent_b_response,agent_b_hallucinated_content_rate,False,False,409,0.0010481662591687042,19,0.0,24,0.005208333333333333,0.0,0.1429,0.001225,0.0
agent_b_response,agent_b_hallucinated_station_rate,False,False,409,0.000547677261613692,19,0.0,24,0.041666666666666664,0.0,1.0,0.0027079646017699114,0.0
agent_b_response,agent_b_mode_permission_compliance,False,False,409,1.0,19,1.0,24,0.0,0.0,1.0,0.9469026548672567,1.0
agent_b_response,agent_b_model_generation_latency,False,False,409,46.239332273838635,19,32.48328947368421,24,1.2585,0.0003,398.3321,43.27272876106194,27.79455
agent_b_response,agent_b_optimality_ratio,False,False,409,0.9772117359413203,19,0.8239684210526316,0,,0.6136,4.0,0.9704088785046728,1.0
agent_b_response,agent_b_pareto_improvement_rate,False,False,409,0.024176039119804402,19,0.062405263157894734,24,0.0,0.0,0.5,0.024499336283185843,0.0
agent_b_response,agent_b_plugin_execution_success,False,False,409,1.0,19,1.0,24,1.0,1.0,1.0,1.0,1.0
agent_b_response,agent_b_proposal_parse_rate,False,False,409,0.8021775061124694,19,0.2611,24,0.0,0.0,1.0,0.7368396017699116,0.8
agent_b_response,agent_b_route_novelty,False,False,409,0.8917166259168705,19,0.9407894736842105,24,1.0,0.3333,1.0,0.899528982300885,1.0
agent_b_response,agent_b_route_validity_rate,False,False,409,0.919679706601467,19,0.33026315789473687,24,0.0,0.0,1.0,0.8460707964601769,1.0
agent_b_response,agent_b_valid_proposals_per_100_output_tokens,False,False,409,23.67471980440098,19,8.083210526315789,1,0.0,0.0,33.3333,22.929000932400932,27.7778
automatic_speech_recognition,asr_character_error_rate,False,False,409,0.06379951100244499,19,0.058936842105263156,24,0.559025,0.0,0.6517,0.08989026548672567,0.0223
automatic_speech_recognition,asr_constraint_preservation_rate,False,False,409,0.9356210268948655,19,1.0,1,1.0,0.7,1.0,0.9386223776223775,1.0
automatic_speech_recognition,asr_critical_slot_accuracy,False,False,409,0.9530933985330073,19,0.9456157894736842,0,,0.5,1.0,0.9527614485981308,1.0
automatic_speech_recognition,asr_domain_correction_yield,False,False,237,0.284031223628692,12,0.17773333333333333,24,0.003675,0.0,1.0,0.25471208791208794,0.186
automatic_speech_recognition,asr_empty_transcript_rate,False,False,409,0.0,19,0.0,24,0.0,0.0,0.0,0.0,0.0
automatic_speech_recognition,asr_entity_error_rate,False,False,409,0.2625496332518337,19,0.10686315789473685,24,0.9791666666666666,0.0,1.0,0.29405575221238933,0.0952
automatic_speech_recognition,asr_failure_count,False,False,409,0.0,19,0.0,24,0.0,0.0,0.0,0.0,0.0
automatic_speech_recognition,asr_failure_rate,False,False,409,0.0,19,0.0,24,0.0,0.0,0.0,0.0,0.0
automatic_speech_recognition,asr_hallucinated_token_rate,False,False,409,0.011136185819070906,19,0.004910526315789474,24,0.026283333333333336,0.0,0.0753,0.011678761061946904,0.0
automatic_speech_recognition,asr_negation_preservation_rate,False,False,374,0.9981283422459893,19,0.9696052631578947,23,0.7608695652173914,0.0,1.0,0.9837079326923077,1.0
automatic_speech_recognition,asr_numeric_preservation_rate,False,False,409,0.7206239608801956,19,0.8245684210526316,0,,0.0,1.0,0.7252383177570093,1.0
automatic_speech_recognition,asr_real_time_factor,False,False,409,0.3012872860635697,19,0.950757894736842,24,0.4546958333333333,0.0003,8.5027,0.33673362831858406,0.1543
automatic_speech_recognition,asr_recognition_latency,False,False,409,1.552418826405868,19,6.108721052631578,24,2.1952458333333333,0.0025,70.294,1.7780772123893804,0.9415
automatic_speech_recognition,asr_repair_trigger_rate,False,False,409,0.0,19,0.0,24,0.0,0.0,0.0,0.0,0.0
automatic_speech_recognition,asr_route_sequence_edit_distance,False,False,409,0.10364498777506112,19,0.07173157894736842,0,,0.0,0.6667,0.10222827102803739,0.0
automatic_speech_recognition,asr_semantic_asr_error_rate,False,False,409,0.20962860635696823,19,0.08026315789473684,24,0.0,0.0,0.875,0.19305995575221238,0.0
automatic_speech_recognition,asr_sentence_error_rate,False,False,409,0.38380757946210264,19,0.5213368421052632,24,0.9777791666666666,0.0,1.0,0.4211269911504425,0.3636
automatic_speech_recognition,asr_station_f1,False,False,409,0.97740097799511,19,0.9775,24,0.22348333333333334,0.0,1.0,0.9373741150442478,0.9796
automatic_speech_recognition,asr_station_precision,False,False,409,0.9767014669926651,19,0.9976052631578947,24,0.5416666666666666,0.0,1.0,0.9544809734513275,1.0
automatic_speech_recognition,asr_station_recall,False,False,409,0.9802105134474327,19,0.964921052631579,24,0.1456,0.0,1.0,0.9352522123893805,1.0
automatic_speech_recognition,asr_success_rate,False,False,409,1.0,19,1.0,24,1.0,1.0,1.0,1.0,1.0
automatic_speech_recognition,asr_transcript_correction_count,False,False,409,3.6723716381418092,19,2.736842105263158,24,0.125,0.0,14.0,3.4446902654867255,1.0
automatic_speech_recognition,asr_uncorrected_misinterpretation_count,False,False,409,11.985330073349633,19,13.631578947368421,24,28.375,0.0,66.0,12.924778761061948,5.0
automatic_speech_recognition,asr_wer,False,False,409,0.07903129584352078,19,0.07981052631578947,24,0.6966833333333334,0.0,0.8193,0.11185973451327434,0.0225
automatic_speech_recognition,asr_word_error_rate,False,False,409,0.07903129584352078,19,0.07981052631578947,24,0.6966833333333334,0.0,0.8193,0.11185973451327434,0.0225
other,audio_capture_success_rate,False,False,409,1.0,19,1.0,24,1.0,1.0,1.0,1.0,1.0
other,audio_clipping_rate,False,False,409,1.7114914425427873e-06,19,0.0,24,0.0,0.0,0.0001,1.5486725663716813e-06,0.0
other,audio_loudness_stability,False,False,409,0.6766031784841076,19,0.6807684210526316,24,0.7277333333333332,0.0075,2.1462,0.6794931415929204,0.2823
other,audio_missing_rate,False,False,409,0.0,19,0.0,24,0.0,0.0,0.0,0.0,0.0
other,audio_raw_turn_latency,False,False,409,53.16755232273839,19,31.69425789473684,24,7.854245833333334,5.4845,274.1597,49.85889756637168,45.653949999999995
other,audio_real_time_interaction_factor,False,False,409,7.324981173594132,19,5.717389473684211,24,1.6564625,1.228,44.6316,6.956422123893805,5.993499999999999
other,audio_response_latency,False,False,409,2.9892413202933983,19,4.4897526315789476,24,2.0833333333333335,1.9139,8.0,3.0042146017699114,2.0
other,audio_silence_ratio,False,False,409,0.1737919315403423,19,0.2530842105263158,24,0.5295124999999999,0.0255,0.5811,0.1960128318584071,0.078
other,audio_speech_rate_wpm,False,False,409,149.42502298288508,19,165.27998421052632,24,193.6232125,116.6513,212.2422,152.43829911504426,160.3628
other,audio_turn_budget_violation_rate,False,False,409,0.9627672371638142,19,0.9085000000000001,24,1.0,0.6923,1.0,0.9624630530973451,1.0
other,audio_turn_latency,False,False,409,3.0106454767726163,19,4.558342105263158,24,2.0833333333333335,1.886,8.0,3.026465707964602,2.0
other,audio_utterance_duration,False,False,409,7.407028361858191,19,5.748757894736842,24,4.806025,4.1192,9.9606,7.19921592920354,7.3679
whole_dialogue,automatic_eval_score,False,True,409,0.9540432762836186,19,0.2164473684210526,24,0.06896666666666666,0.0556,0.9777,0.8760429203539823,0.9555
other,average_route_fullness,False,False,409,74.97271393643032,19,56.45526315789473,24,0.0,0.0,81.6,70.21347345132743,73.67
other,avg_words_per_message,False,False,409,17.993422982885086,19,15.45842105263158,24,10.475,8.21,23.62,17.487654867256637,17.14
dialogue_management,best_candidate_turn,False,False,409,1.1638141809290954,19,1.1578947368421053,0,,1.0,6.0,1.1635514018691588,1.0
dialogue_management,candidate_route_count,False,False,409,3.7017114914425426,19,1.5789473684210527,24,0.0,0.0,7.0,3.415929203539823,4.0
dialogue_state,clarification_rate,False,False,409,0.32039462102689487,19,0.22758421052631578,24,0.013887499999999999,0.0,0.75,0.3002185840707965,0.4444
other,comparison_terms,False,False,409,0.6039119804400978,19,2.8421052631578947,24,0.16666666666666666,0.0,7.0,0.6747787610619469,0.0
other,condition_runtime_sec,False,False,409,545.1210058777506,19,350.99993710526314,24,86.58745725,31.815111,3016.215806,512.6141353606195,455.53312900000003
other,constraint_delay_probability,False,False,409,0.49249657701711497,19,0.4563210526315789,24,0.4907333333333333,0.4503,0.5043,0.49088230088495577,0.502
other,constraint_delay_probability_gap,False,False,409,0.028106112469437654,19,0.011105263157894736,0,,-0.2146,0.2534,0.027351401869158874,0.0
other,constraint_duration_gap_min,False,False,409,-0.293398533007335,19,9.631578947368421,0,,-21.0,13.0,0.14719626168224298,0.0
other,constraint_duration_min,False,False,409,31.936430317848412,19,31.31578947368421,24,31.041666666666668,25.0,40.0,31.86283185840708,31.0
other,constraint_fullness_gap,False,False,409,-0.009779951100244499,19,0.05263157894736842,0,,-1.0,1.0,-0.007009345794392523,0.0
other,constraint_line_change_count,False,False,409,1.2029339853300733,19,1.0526315789473684,24,1.25,1.0,2.0,1.1991150442477876,1.0
other,constraint_line_change_gap,False,False,409,0.007334963325183374,19,0.8421052631578947,0,,-2.0,1.0,0.04439252336448598,0.0
other,constraint_near_capacity_count,False,False,409,0.009779951100244499,19,0.0,24,0.0,0.0,1.0,0.008849557522123894,0.0
other,constraint_near_capacity_gap,False,False,409,-0.009779951100244499,19,0.05263157894736842,0,,-1.0,1.0,-0.007009345794392523,0.0
other,constraint_transfer_miss_probability,False,False,409,0.28667848410757946,19,0.24336842105263157,24,0.3037125,0.1262,0.4293,0.285762389380531,0.1953
other,constraint_transfer_miss_probability_gap,False,False,409,-0.014750855745721271,19,0.1266157894736842,0,,-0.4262,0.25,-0.008475233644859814,0.0
other,cooperation_terms,False,False,409,2.234718826405868,19,2.9473684210526314,24,0.125,0.0,7.0,2.1526548672566372,2.0
dialogue_management,dialogue_management_clarification_calibration,False,False,409,0.45252640586797066,19,0.05263157894736842,24,0.34375,0.0,1.0,0.4299409292035398,0.0
dialogue_management,dialogue_management_clarification_precision,False,False,409,0.45252640586797066,19,0.05263157894736842,24,0.34375,0.0,1.0,0.4299409292035398,0.0
dialogue_management,dialogue_management_clarification_recall,False,False,409,0.9902200488997555,19,1.0,24,1.0,0.0,1.0,0.9911504424778761,1.0
dialogue_management,dialogue_management_constraint_order_adherence,False,False,409,1.0,19,1.0,23,1.0,1.0,1.0,1.0,1.0
dialogue_management,dialogue_management_constraint_violation_handling_accuracy,False,False,409,0.9755501222493888,19,1.0,24,1.0,0.0,1.0,0.9778761061946902,1.0
dialogue_management,dialogue_management_correct_next_action_rate,False,False,409,0.8644459657701712,19,0.9407894736842105,0,,0.3333,1.0,0.8678350467289719,1.0
dialogue_management,dialogue_management_distinct_proposal_rate,False,False,409,0.8917166259168705,19,0.9407894736842105,24,0.0,0.0,1.0,0.8464316371681416,1.0
dialogue_management,dialogue_management_invalid_proposal_handling_accuracy,False,False,409,0.9596577017114915,19,1.0,24,1.0,0.0,1.0,0.963495575221239,1.0
dialogue_management,dialogue_management_policy_progress_rate,False,False,409,0.8644459657701712,19,0.9407894736842105,24,0.0,0.0,1.0,0.8217553097345133,1.0
dialogue_management,dialogue_management_premature_answer_rate,False,False,409,0.0010481662591687042,19,0.0,24,0.005208333333333333,0.0,0.1429,0.001225,0.0
dialogue_management,dialogue_management_premature_closure_rate,False,False,409,0.0,19,0.0,24,0.0,0.0,0.0,0.0,0.0
dialogue_management,dialogue_management_repair_attempt_rate,False,False,409,0.07212713936430318,19,0.0,24,0.16666666666666666,0.0,4.0,0.07411504424778761,0.0
dialogue_management,dialogue_management_repair_success_rate,False,False,409,0.9370418092909535,19,0.9210526315789473,24,0.3680541666666666,0.0,1.0,0.9061579646017699,1.0
dialogue_management,dialogue_management_repeated_repair_rate,False,False,409,0.16768459657701712,19,0.10526315789473684,24,0.0,0.0,1.0,0.1561570796460177,0.0
dialogue_management,dialogue_management_route_repetition_rate,False,False,409,0.10828337408312959,19,0.05921052631578947,24,0.0,0.0,0.6667,0.10047101769911504,0.0
dialogue_management,dialogue_management_route_revision_rate,False,False,409,0.009908068459657703,19,0.03383684210526316,24,0.0,0.0,0.5,0.010387831858407078,0.0
dialogue_management,dialogue_management_stagnation_rate,False,False,409,0.7326229828850856,19,0.10657894736842105,24,0.0,0.0,0.8333,0.6674066371681416,0.75
dialogue_management,dialogue_management_stop_decision_accuracy,False,False,409,0.8728606356968215,19,0.15789473684210525,24,0.08333333333333333,0.0,1.0,0.8008849557522124,1.0
dialogue_management,dialogue_management_turn_efficiency,False,False,409,0.32747897310513446,19,0.1129157894736842,24,0.0,0.0,0.5,0.30107146017699116,0.3636
dialogue_management,dialogue_management_turn_limit_utilization,False,False,409,0.68760097799511,19,0.8725684210526317,24,0.546875,0.25,1.0,0.6879039823008849,0.65
dialogue_management,dialogue_management_unnecessary_clarification_rate,False,False,409,0.5474735941320293,19,0.9473684210526315,24,0.65625,0.0,1.0,0.5700590707964601,1.0
dialogue_state,dialogue_state_candidate_deduplication_accuracy,False,False,409,0.8917166259168705,19,0.9407894736842105,24,1.0,0.3333,1.0,0.899528982300885,1.0
dialogue_state,dialogue_state_candidate_memory_precision,False,False,409,0.8917166259168705,19,0.9407894736842105,0,,0.3333,1.0,0.8938950934579439,1.0
dialogue_state,dialogue_state_candidate_memory_recall,False,False,409,1.0,19,1.0,0,,1.0,1.0,1.0,1.0
dialogue_state,dialogue_state_constraint_omission_rate,False,False,409,0.0,19,0.0,23,0.0,0.0,0.0,0.0,0.0
dialogue_state,dialogue_state_constraint_retention_rate,False,False,409,1.0,19,1.0,23,1.0,1.0,1.0,1.0,1.0
dialogue_state,dialogue_state_joint_goal_accuracy,False,True,409,1.0,19,0.0,24,0.0,0.0,1.0,0.9048672566371682,1.0
dialogue_state,dialogue_state_memory_trace_coverage,False,False,409,1.0,19,1.0,24,1.0,1.0,1.0,1.0,1.0
dialogue_state,dialogue_state_memory_update_rate,False,False,409,0.9937557457212713,19,1.0,24,1.0,0.8462,1.0,0.9943497787610619,1.0
dialogue_state,dialogue_state_missing_trip_slot_rate,False,False,409,0.004745232273838631,19,0.002926315789473684,24,0.8670208333333332,0.0,1.0,0.050453318584070796,0.0
dialogue_state,dialogue_state_premature_constraint_activation_rate,False,False,409,0.0,19,0.0,24,0.0,0.0,0.0,0.0,0.0
dialogue_state,dialogue_state_route_memory_retention_rate,False,False,409,0.9964100244498778,3,0.6315666666666667,0,,0.0,1.0,0.9937533980582525,1.0
dialogue_state,dialogue_state_route_state_consistency,False,False,409,1.0,19,1.0,24,1.0,1.0,1.0,1.0,1.0
dialogue_state,dialogue_state_selected_route_consistency,False,False,409,1.0,19,1.0,0,,1.0,1.0,1.0,1.0
dialogue_state,dialogue_state_shared_state_agreement,False,False,409,0.7960579462102689,19,0.5499999999999999,24,0.9427083333333334,0.0,1.0,0.7935015486725663,1.0
dialogue_state,dialogue_state_slot_accuracy,False,False,409,0.9082161369193154,19,0.9466526315789473,0,,0.4364,1.0,0.909922429906542,1.0
dialogue_state,dialogue_state_stage_accuracy,False,False,409,1.0,19,1.0,23,1.0,1.0,1.0,1.0,1.0
dialogue_state,dialogue_state_state_drift_rate,False,False,409,0.0,19,0.0,23,0.0,0.0,0.0,0.0,0.0
dialogue_state,dialogue_state_trip_fact_completeness,False,False,409,0.9952547677261613,19,0.9970736842105264,24,0.13297916666666668,0.0,1.0,0.9495466814159292,1.0
other,duration_excess_min,False,False,409,0.7970660146699267,19,13.526315789473685,0,,-21.0,17.0,1.3621495327102804,0.0
whole_dialogue,duration_score,False,False,409,0.9772117359413203,19,0.6660736842105264,24,0.0,0.0,1.0,0.912245575221239,1.0
other,lexical_diversity,False,False,409,0.41369804400978,19,0.46408947368421055,24,0.6895083333333334,0.2923,0.8929,0.43046106194690265,0.418
audio_turn_taking,max_turn_elapsed_sec,False,False,409,3.0806845965770173,19,4.7368421052631575,24,2.0833333333333335,2.0,8.0,3.0973451327433628,2.0
audio_turn_taking,max_turn_latency_sec,False,False,409,3.0806845965770173,19,4.7368421052631575,24,2.0833333333333335,2.0,8.0,3.0973451327433628,2.0
audio_turn_taking,mean_turn_elapsed_sec,False,False,409,3.0106454767726163,19,4.558342105263158,24,2.0833333333333335,1.886,8.0,3.026465707964602,2.0
audio_turn_taking,mean_turn_latency_sec,False,False,409,3.0106454767726163,19,4.558342105263158,24,2.0833333333333335,1.886,8.0,3.026465707964602,2.0
other,message_count,False,False,409,11.899755501222494,19,12.842105263157896,24,10.75,3.0,20.0,11.878318584070797,11.0
